217;79;211;79
211;79;207;79
207;79;202;79
202;79;197;82
197;82;191;84
191;84;185;88
185;88;178;92
178;92;169;99
169;99;161;105
161;105;154;112
154;112;148;119
148;119;143;129
143;129;139;140
139;140;137;151
137;151;136;163
136;163;137;176
137;176;140;189
140;189;146;201
146;201;154;211
154;211;165;220
165;220;174;226
174;226;185;231
185;231;198;233
198;233;210;233
210;233;222;229
222;229;233;222
233;222;246;214
246;214;260;202
260;202;272;188
272;188;282;176
282;176;287;165
287;165;290;154
290;154;291;145
291;145;289;135
289;135;287;125
287;125;283;117
283;117;278;110
278;110;272;105
272;105;266;99
266;99;260;95
260;95;253;90
253;90;247;86
247;86;240;83
240;83;235;82
235;82;228;81
228;81;220;81
220;81;212;81
212;81;204;81
204;81;197;81
197;81;194;81
194;81;191;81
191;81;189;81
189;81;188;81
188;81;187;81
